timestamp,latency,error_rate,cpu,memory,request_time,latency_anomaly,latency_slope,memory_slope,error_trend,risk_score
2026-01-01 00:00:00,111.62,0.0,51.28,58.84,1056.39,0.0,15.6557,0.9418,0.0,0.0677
2026-01-01 00:00:30,127.27,0.0313,51.7,59.78,1095.69,7.83,0.7584,-0.497,0.0156,0.0498
2026-01-01 00:01:00,113.14,0.0,49.13,57.84,1022.13,-4.21,-2.1645,-0.386,-0.0052,0.034
2026-01-01 00:01:30,122.95,0.0,44.03,59.01,1012.29,4.2,1.959,1.0404,-0.0026,0.0353
2026-01-01 00:02:00,117.05,0.0,49.46,59.92,1059.31,-1.35,-2.952,1.1065,-0.0016,0.023
2026-01-01 00:02:30,117.04,0.0,50.61,61.22,911.0,-1.14,3.7799,-0.5193,-0.001,0.0232
2026-01-01 00:03:00,124.61,0.0205,53.29,58.89,1074.0,5.52,1.6251,-1.0437,0.0022,0.0416
2026-01-01 00:03:30,120.29,0.0011,53.05,59.13,1076.51,1.04,-1.1918,1.033,-0.0008,0.0136
2026-01-01 00:04:00,122.23,0.0,55.1,60.95,1050.27,2.65,-1.0244,2.7342,-0.0007,0.028
2026-01-01 00:04:30,118.24,0.0,52.62,64.6,979.65,-1.2,-0.987,-0.2301,-0.0006,0.011
2026-01-01 00:05:00,120.26,0.0,54.4,60.49,960.72,0.74,1.7452,-3.3084,-0.0005,0.0217
2026-01-01 00:05:30,121.73,0.0,54.08,57.98,1070.6,2.03,-1.5127,2.4274,-0.0004,0.0254
2026-01-01 00:06:00,117.23,0.0121,53.74,65.35,959.87,-2.28,-1.4492,0.3308,0.0006,0.0196
2026-01-01 00:06:30,118.84,0.0,52.19,58.65,996.07,-0.63,2.6955,-1.7573,-0.0004,0.0199
2026-01-01 00:07:00,122.62,0.0,50.54,61.83,919.73,2.95,-2.1018,-0.1618,-0.0003,0.0256
2026-01-01 00:07:30,114.63,0.0,53.04,58.32,1096.87,-4.73,-1.1506,-1.2594,-0.0003,0.0358
2026-01-01 00:08:00,120.32,0.0168,53.9,59.31,1017.74,0.9,5.1074,1.723,0.0008,0.0315
2026-01-01 00:08:30,124.85,0.0356,53.45,61.77,1045.84,5.13,3.8913,-0.2639,0.0017,0.0462
2026-01-01 00:09:00,128.1,0.0152,54.83,58.79,1044.95,7.94,-2.4788,-1.3346,0.0005,0.0604
